1660938649.000000, 1660938649.000000, 1660938649.000000
32.000000, 32.000000, 32.000000
-19,-60,7
-19,-60,7
-19,-60,7
-19,-60,7
-19,-60,7
-19,-59,7
-19,-60,7
-19,-59,7
-19,-60,7
-20,-60,7
-19,-59,7
-20,-59,7
-20,-60,7
-20,-60,7
-20,-60,7
-20,-60,7
-20,-60,7
-20,-59,7
-20,-60,7
-20,-60,7
-20,-60,7
-19,-60,7
-19,-60,7
-20,-60,7
-20,-61,7
-20,-61,8
-20,-59,9
-20,-59,9
-18,-57,8
-16,-56,7
-17,-60,5
-19,-58,5
-19,-57,5
-20,-59,7
-20,-60,8
-21,-60,9
-22,-61,9
-22,-61,9
-21,-61,9
-21,-60,8
-21,-60,6
-20,-59,6
-20,-60,5
-19,-60,6
-18,-61,6
-18,-60,7
-18,-59,8
-17,-59,7
-17,-60,7
-17,-60,7
-17,-60,7
-18,-64,7
-18,-65,7
-17,-67,6
-17,-67,6
-14,-62,6
-12,-64,4
-9,-65,6
-10,-69,2
-9,-69,1
-11,-72,0
-14,-64,1
-15,-60,3
-12,-52,7
-10,-51,12
-8,-54,13
-9,-60,15
-10,-62,14
-15,-61,8
-18,-59,5
-17,-64,1
-19,-61,2
-16,-59,3
-18,-55,2
-18,-52,2
-19,-51,2
-20,-55,8
-22,-59,14
-23,-63,24
-21,-61,27
-11,-62,33
-2,-63,33
-2,-62,29
-5,-59,20
-10,-58,15
-25,-79,-1
-36,-67,1
-36,-72,-2
-24,-56,0
-19,-57,1
-24,-55,0
-30,-50,-7
-33,-48,-11
-34,-45,-13
-36,-44,-13
-39,-47,-9
-39,-48,-4
-38,-47,0
-40,-43,28
-36,-45,46
-36,-57,25
-82,-67,-3
-84,-53,-1
-57,-55,-23
-44,-58,-15
-23,-84,6
-29,-90,2
-34,-82,-9
-37,-76,-19
-32,-74,-15
-8,-75,-3
2,-67,3
5,-61,6
0,-47,8
-5,-45,10
0,-33,12
-5,-33,7
-15,-33,5
-38,-37,-4
-45,-39,-7
-58,-33,-15
-61,-27,-13
-64,-31,-13
-62,-45,-5
-58,-46,-3
-86,-32,-11
-83,-44,-8
-80,-51,-16
-83,-49,-42
-75,-56,-41
-47,-52,-26
-39,-39,-14
-37,-41,-8
-39,-49,4
-29,-54,8
-25,-37,15
-24,-30,13
-28,-32,13
-34,-31,13
-40,-32,13
-45,-36,12
-43,-44,16
-38,-49,19
-30,-58,25
-27,-59,28
-26,-64,28
-25,-57,24
-25,-56,24
-30,-56,21
-31,-61,18
-23,-78,10
-13,-82,1
-10,-78,-1
-10,-63,0
-13,-58,-1
-22,-55,-6
-37,-59,-12
-42,-58,-10
-47,-52,-4
-48,-48,0
-48,-49,3
-51,-67,1
-50,-61,2
-43,-53,6
-38,-64,7
-37,-66,9
-42,-87,2
-41,-83,1
-39,-59,-3
-39,-59,-6
-38,-66,-13
-33,-82,-15
-27,-75,-13
-13,-68,-8
-7,-68,-6
-6,-64,-2
-11,-58,-2
-12,-57,-2
-15,-56,-3
-15,-55,-3
-15,-58,-3
-15,-59,-2
-16,-61,-4
-17,-84,-7
-17,-76,-5
-36,-44,9
-48,-35,18
-55,-45,17
-45,-59,10
-36,-59,7
-18,-66,12
-16,-62,22
-20,-58,23
-34,-56,15
-42,-58,8
-39,-56,1
-36,-51,-1
-35,-49,-2
-35,-52,-4
-35,-56,-5
-33,-61,-6
-28,-66,-5
-27,-70,-5
-23,-74,-3
-22,-70,-2
-19,-64,-3
-19,-57,-4
-19,-56,-6
-23,-63,-9
-25,-64,-12
-25,-65,-19
-28,-68,-20
-27,-65,-21
-26,-69,-27
-27,-70,-28
-28,-70,-27
-28,-73,-23
-27,-75,-21
-22,-77,-16
-19,-76,-13
-17,-71,-8
-17,-67,-2
-16,-64,-1
-14,-62,0
-15,-61,-2
-30,-60,-12
-60,-49,8
-51,-41,11
-40,-27,0
-45,-23,-6
-38,-26,-5
-45,-29,-20
-72,-28,-24
-40,-36,2
-35,-44,2
-52,-37,-27
-19,-44,-5
-6,-47,-9
-71,-44,-39
-53,-47,-37
-43,-47,-22
-48,-52,-19
-50,-47,-20
-29,-38,-27
-30,-39,-19
-34,-43,-27
-30,-49,-24
-33,-50,-19
-2,-56,-28
-3,-53,-36
-39,-38,-70
-31,-42,-56
-31,-36,-54
-20,-43,-31
-33,-50,-33
-29,-61,-34
3,-57,-18
14,-66,-9
-40,-67,-17
-21,-66,-18
-25,-63,-33
-31,-59,-23
-24,-58,-15
-27,-48,-26
-33,-44,-30
-38,-39,-23
-55,-33,-24
-19,-39,-12
-36,-50,-16
-34,-51,-16
-19,-54,-14
-20,-57,-15
-21,-57,-11
-20,-60,3
-30,-76,12
-44,-86,-1
-50,-94,-4
-38,-81,-19
-77,-60,-46
-64,-44,-43
-23,-8,-27
14,4,-13
3,-12,-7
-56,-39,-31
-47,-40,-22
-26,-66,5
-42,-74,4
-57,-52,2
-44,-48,4
-33,-41,-3
-44,-19,8
-49,-11,8
-39,-17,15
-47,-34,19
-49,-40,24
-46,-54,26
-63,-83,21
-88,-128,0
-23,-52,-3
34,-35,13
-16,-18,-3
-28,-14,-1
-37,-30,-7
-69,-48,-56
-103,-24,-78
-54,-9,-61
-32,-15,-44
-40,-16,-33
2,-23,-21
-10,-35,-15
-43,-54,-8
-31,-61,-10
-7,-85,-24
-31,-95,-47
-49,-93,-53
-38,-75,-65
-43,-60,-62
-24,-44,-36
-7,-40,-33
-10,-36,-38
-22,-35,-40
-18,-32,-54
-51,-23,-51
-8,-20,-12
9,-31,9
-15,-42,7
-17,-48,5
-39,-65,-7
-51,-59,-36
-23,-56,-29
0,-77,2
2,-87,14
9,-74,30
-6,-83,15
-5,-70,7
-19,-53,-2
-34,-58,-8
-46,-51,-14
-35,-60,-20
-24,-60,-19
-18,-58,-7
-12,-68,-2
-3,-65,9
-7,-61,13
-8,-66,15
-12,-68,15
-14,-64,14
-13,-63,9
-14,-62,7
-14,-62,7
-16,-60,5
-18,-59,5
-23,-59,7
-26,-59,8
-35,-61,11
-48,-66,12
-41,-69,13
-33,-69,14
-19,-65,19
-15,-63,20
-17,-62,19
-17,-60,19
-19,-55,19
-20,-49,21
-18,-50,20
-16,-50,21
-18,-51,23
-21,-48,26
-23,-44,30
-24,-41,32
-25,-41,32
-16,-43,34
-17,-45,37
-19,-48,39
-19,-46,40
-20,-44,39
-22,-39,40
-13,-58,40
-24,-36,43
-25,-39,41
-23,-48,43
-20,-45,44
-19,-42,42
-15,-40,45
-19,-41,46
-22,-37,44
-21,-39,42
-23,-38,45
-23,-37,44
-21,-39,44
-21,-46,41
-21,-44,41
-23,-42,41
-21,-45,39
-19,-48,38
-20,-45,38
-21,-46,37
-23,-47,39
-22,-45,38
-21,-45,38
-23,-44,41
-22,-42,40
-21,-43,40
-21,-44,43
-21,-42,43
-21,-42,43
-22,-44,43
-22,-44,42
-22,-42,42
-22,-42,42
-22,-43,42
-22,-43,42
-22,-43,41
-22,-41,41
-22,-42,41
-22,-40,40
-21,-42,41
-21,-42,41
-21,-43,42
-23,-44,41
-22,-45,40
-21,-44,40
-20,-45,40
-21,-46,41
-21,-45,40
-20,-44,40
-20,-44,40
-22,-42,42
-22,-42,41
-21,-41,41
-21,-42,43
-22,-41,44
-22,-43,41
-23,-44,42
-23,-43,43
-22,-43,44
-23,-44,42
-25,-41,43
-22,-42,39
-21,-42,40
-20,-43,40
-21,-42,41
-21,-41,41
-24,-42,43
-25,-43,43
-25,-42,42
-24,-42,42
-23,-41,42
-23,-42,41
-22,-44,40
-20,-41,42
-21,-42,42
-22,-42,42
-20,-43,43
-22,-42,43
-21,-43,41
-22,-40,41
-20,-43,44
-22,-40,43
-21,-40,42
-22,-41,45
-23,-41,47
-20,-41,42
-18,-40,41
-23,-43,44
-23,-44,43
-22,-45,37
-22,-44,38
-22,-44,40
-22,-45,39
-22,-44,39
-23,-44,39
-23,-44,40
-23,-45,38
-22,-44,39
-22,-43,39
-22,-44,39
-24,-43,39
-24,-43,41
-24,-45,42
-15,-55,43
-21,-48,40
-24,-44,39
-27,-44,38
-25,-44,38
-24,-45,37
-23,-44,36
-24,-44,36
-25,-45,36
-24,-44,36
-23,-43,36
-23,-44,36
-23,-44,35
-24,-43,36
-23,-43,36
-23,-43,36
-23,-45,34
-23,-43,34
-21,-40,33
-18,-41,33
-12,-41,29
-11,-43,26
-15,-49,21
-20,-55,18
-24,-59,16
-29,-64,14
-29,-63,15
-25,-56,17
-22,-61,17
-16,-77,23
-18,-60,29
-17,-66,29
-17,-61,28
-19,-55,27
-20,-50,23
-20,-52,19
-21,-54,17
-22,-59,16
-23,-57,17
-27,-54,20
-27,-58,18
-26,-60,17
-23,-64,13
-22,-66,11
-21,-80,9
-23,-76,8
-25,-80,6
-28,-79,7
-31,-59,8
-34,-54,3
-35,-68,1
-34,-74,0
-23,-69,3
-17,-63,5
-6,-54,12
-6,-47,17
-10,-45,16
-18,-44,14
-22,-46,10
-23,-54,7
-19,-59,9
-17,-60,10
-13,-66,12
-13,-71,12
-16,-86,9
-24,-69,8
-25,-65,9
-30,-56,13
-34,-57,14
-31,-65,11
-10,-65,3
-1,-65,3
0,-52,9
-5,-45,10
-15,-44,6
-24,-49,3
-26,-49,2
-26,-49,4
-27,-50,6
-30,-50,12
-30,-68,12
-28,-81,10
-28,-91,8
-27,-96,9
-24,-79,10
-25,-64,8
-27,-67,4
-32,-73,1
-33,-65,0
-31,-68,-1
-22,-63,6
-17,-57,10
-8,-47,14
-8,-46,14
-13,-50,11
-16,-48,7
-17,-47,6
-15,-53,6
-12,-58,7
-10,-67,9
-10,-74,9
-10,-82,7
-13,-75,6
-17,-68,7
-22,-58,13
-28,-67,18
-26,-72,19
-13,-66,14
-4,-64,11
4,-57,13
-7,-40,13
-13,-39,10
-22,-45,3
-26,-49,1
-29,-52,1
-28,-53,7
-27,-54,10
-28,-67,14
-30,-78,12
-30,-88,6
-25,-86,8
-24,-78,10
-25,-72,11
-27,-64,10
-31,-74,5
-31,-64,2
-30,-65,1
-23,-68,4
-12,-59,9
-7,-55,9
-5,-53,10
-9,-54,9
-14,-47,8
-16,-45,6
-14,-52,5
-13,-58,6
-12,-63,7
-6,-71,9
-6,-69,10
-8,-79,7
-15,-72,7
-19,-72,9
-29,-61,19
-33,-63,19
-22,-67,13
-4,-68,7
0,-62,8
-3,-49,11
-9,-47,9
-19,-50,3
-29,-52,-3
-31,-51,-3
-30,-54,1
-28,-52,3
-30,-55,10
-33,-73,11
-31,-79,9
-24,-82,9
-20,-88,11
-21,-77,15
-27,-64,11
-31,-68,7
-35,-77,5
-35,-71,4
-28,-74,4
-12,-73,7
-6,-71,9
2,-63,12
1,-58,12
-9,-52,10
-15,-48,7
-16,-47,5
-14,-48,5
-12,-50,5
-10,-58,5
-8,-61,6
-9,-61,7
-14,-68,8
-16,-64,9
-21,-72,12
-29,-66,26
-31,-66,30
-18,-67,25
-9,-69,18
1,-74,9
-2,-61,10
-9,-55,9
-22,-52,7
-29,-51,4
-32,-48,0
-28,-49,0
-25,-49,2
-25,-46,10
-27,-50,14
-31,-62,15
-29,-74,10
-23,-76,9
-14,-89,11
-15,-87,12
-22,-78,10
-23,-71,9
-23,-64,9
-22,-66,11
-18,-66,12
-15,-78,10
30,-82,15
