acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.265625,0.53125,0.84375,-289.19,0.20245,63.17,29.75,0
-0.265625,0.515625,0.828125,-305.52,0.20245,63.17,29.75,0
-0.28125,0.5,0.875,-219.72,0.20245,63.17,29.75,0
-0.296875,0.5,0.875,-109.09,0.20245,63.17,29.75,0
-0.28125,0.5,1.015625,-17.99,0.20245,63.17,29.75,0
-0.1875,0.5,0.84375,71.74,0.20245,63.17,29.75,0
-0.296875,0.4375,0.8125,182.43,0.20245,63.17,29.75,0
-0.28125,0.453125,0.78125,300.12,0.20245,63.17,29.75,0
-0.28125,0.453125,0.796875,385.63,0.238328,63.17,29.75,0
-0.375,0.4375,0.78125,409.25,0.238328,63.17,29.75,0
-0.328125,0.484375,0.78125,377.5,0.238328,63.17,29.75,0
-0.3125,0.5,0.8125,321.29,0.238328,63.17,29.75,0
-0.3125,0.46875,0.8125,264.65,0.238328,63.17,29.75,0
-0.34375,0.453125,0.828125,213.58,0.238328,63.17,29.75,0
-0.328125,0.46875,0.84375,167.42,0.238328,63.17,29.75,0
-0.3125,0.453125,0.828125,131.39,0.238328,63.17,29.75,0
-0.34375,0.4375,0.84375,114.21,0.229358,63.17,29.75,0
-0.34375,0.4375,0.84375,115.25,0.229358,63.17,29.75,0
-0.328125,0.46875,0.828125,124.72,0.229358,63.17,29.75,0
-0.328125,0.453125,0.828125,136.44,0.229358,63.17,29.75,0
-0.34375,0.4375,0.828125,147.04,0.229358,63.17,29.75,0
-0.359375,0.4375,0.828125,147.93,0.229358,63.17,29.75,0
-0.296875,0.484375,0.84375,134.48,0.229358,63.17,29.75,0
-0.34375,0.46875,0.828125,115.6,0.229358,63.17,29.75,0
-0.34375,0.46875,0.84375,101.86,0.196044,63.17,29.87,0
-0.34375,0.4375,0.828125,91.73,0.196044,63.17,29.87,0
-0.328125,0.453125,0.828125,78.69,0.196044,63.17,29.87,0
-0.34375,0.4375,0.828125,63.44,0.196044,63.17,29.87,0
-0.34375,0.4375,0.8125,49.95,0.196044,63.17,29.87,0
-0.328125,0.4375,0.828125,37.5,0.196044,63.17,29.87,0
-0.359375,0.4375,0.8125,24.4,0.196044,63.17,29.87,0
-0.328125,0.4375,0.828125,13.0,0.196044,63.17,29.87,0
-0.359375,0.421875,0.8125,6.0,0.198606,62.8,29.87,0
-0.34375,0.4375,0.828125,3.01,0.198606,62.8,29.87,0
-0.34375,0.4375,0.8125,4.05,0.198606,62.8,29.87,0
-0.34375,0.4375,0.828125,11.01,0.198606,62.8,29.87,0
-0.34375,0.421875,0.8125,20.6,0.198606,62.8,29.87,0
-0.328125,0.4375,0.8125,20.54,0.198606,62.8,29.87,0
-0.359375,0.4375,0.796875,-0.33,0.198606,62.8,29.87,0
-0.328125,0.421875,0.8125,-37.54,0.198606,62.8,29.87,0
-0.359375,0.421875,0.8125,-74.56,0.198606,62.8,29.87,0
-0.390625,0.4375,0.8125,-105.35,0.198606,62.8,29.87,0
-0.3125,0.421875,0.8125,-141.95,0.198606,62.8,29.87,0
-0.34375,0.4375,0.8125,-186.44,0.198606,62.8,29.87,0
-0.421875,0.4375,0.78125,-208.85,0.198606,62.8,29.87,0
-0.328125,0.421875,0.796875,-182.08,0.198606,62.8,29.87,0
-0.375,0.4375,0.796875,-129.94,0.198606,62.8,29.87,0
-0.46875,0.421875,0.75,-106.62,0.198606,62.8,29.87,0
-0.375,0.40625,0.796875,-135.8,0.196044,62.8,29.87,0
-0.4375,0.40625,0.78125,-188.68,0.196044,62.8,29.87,0
-0.46875,0.390625,0.796875,-211.65,0.196044,62.8,29.87,0
-0.40625,0.40625,0.8125,-170.57,0.196044,62.8,29.87,0
