acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.21875,-0.875,0.40625,-6.09,4.890448,75.0,25.53,3
-0.15625,-0.84375,0.421875,-5.95,4.890448,75.0,25.53,3
-0.15625,-0.828125,0.4375,-4.65,4.890448,75.0,25.53,3
-0.1875,-0.84375,0.453125,-4.06,4.890448,75.0,25.53,3
-0.203125,-0.796875,0.484375,-3.91,4.890448,75.0,25.53,3
-0.25,-0.75,0.40625,-3.47,4.890448,75.0,25.53,3
-0.21875,-0.90625,0.4375,-5.29,4.890448,75.0,25.53,3
-0.234375,-0.953125,0.375,-11.7,4.890448,75.0,25.53,3
-0.328125,-1.03125,0.234375,-19.34,4.70375,75.0,25.55,3
-0.171875,-0.84375,0.3125,-23.06,4.70375,75.0,25.55,3
-0.171875,-0.828125,0.3125,-23.53,4.70375,75.0,25.55,3
-0.1875,-0.890625,0.28125,-25.94,4.70375,75.0,25.55,3
-0.1875,-0.9375,0.265625,-33.35,4.70375,75.0,25.55,3
-0.1875,-0.953125,0.25,-43.43,4.70375,75.0,25.55,3
-0.25,-0.953125,0.171875,-46.92,4.70375,75.0,25.55,3
-0.21875,-0.9375,0.21875,-35.55,4.70375,75.0,25.55,3
-0.1875,-0.953125,0.21875,-17.79,5.090712,75.0,25.55,3
-0.1875,-0.953125,0.21875,-12.56,5.090712,75.0,25.55,3
-0.171875,-0.9375,0.203125,-22.91,5.090712,75.0,25.55,3
-0.203125,-0.9375,0.203125,-34.69,5.090712,75.0,25.55,3
-0.1875,-0.9375,0.1875,-41.9,5.090712,75.0,25.55,3
-0.171875,-0.921875,0.171875,-51.78,5.090712,75.0,25.55,3
-0.171875,-0.921875,0.15625,-66.8,5.090712,75.0,25.55,3
-0.140625,-0.9375,0.140625,-81.2,5.090712,75.0,25.55,3
-0.140625,-0.9375,0.140625,-93.95,5.054835,75.0,25.55,3
-0.140625,-0.921875,0.140625,-109.93,5.054835,75.0,25.55,3
-0.15625,-0.921875,0.125,-128.53,5.054835,75.0,25.55,3
-0.15625,-0.9375,0.125,-146.18,5.054835,75.0,25.55,3
-0.140625,-0.96875,0.140625,-165.45,5.054835,75.0,25.55,3
-0.15625,-0.96875,0.15625,-180.43,5.054835,75.0,25.55,3
-0.171875,-0.953125,0.1875,-165.33,5.054835,75.0,25.55,3
-0.171875,-0.9375,0.203125,-102.7,5.054835,75.0,25.55,3
-0.15625,-0.921875,0.203125,-5.47,5.067648,70.0,25.55,3
-0.125,-1.015625,0.203125,102.34,5.067648,70.0,25.55,3
-0.140625,-1.140625,0.21875,199.07,5.067648,70.0,25.55,3
-0.171875,-1.140625,0.21875,262.75,5.067648,70.0,25.55,3
-0.21875,-1.0,0.21875,287.45,5.067648,70.0,25.55,3
-0.234375,-0.984375,0.1875,292.37,5.067648,70.0,25.55,3
-0.21875,-1.015625,0.15625,295.35,5.067648,70.0,25.55,3
-0.1875,-0.96875,0.171875,297.38,5.067648,70.0,25.55,3
-0.1875,-0.90625,0.15625,299.33,5.07021,70.0,25.53,3
-0.203125,-0.890625,0.09375,308.19,5.07021,70.0,25.53,3
-0.21875,-0.890625,0.078125,323.37,5.07021,70.0,25.53,3
-0.21875,-0.875,0.0625,331.52,5.07021,70.0,25.53,3
-0.21875,-0.859375,0.0625,314.77,5.07021,70.0,25.53,3
-0.21875,-0.875,0.046875,264.37,5.07021,70.0,25.53,3
-0.21875,-0.90625,0.046875,188.04,5.07021,70.0,25.53,3
-0.203125,-0.921875,0.0625,99.2,5.07021,70.0,25.53,3
-0.203125,-0.953125,0.0625,0.87,5.063804,70.0,25.53,3
-0.234375,-1.03125,0.078125,-104.34,5.063804,70.0,25.53,3
-0.25,-1.046875,0.09375,-192.23,5.063804,70.0,25.53,3
-0.25,-1.078125,0.140625,-232.56,5.063804,70.0,25.53,3
-0.21875,-1.09375,0.140625,-226.39,5.063804,70.0,25.53,3
-0.15625,-1.171875,0.125,-201.72,5.063804,70.0,25.53,3
-0.171875,-1.109375,0.109375,-176.81,5.063804,70.0,25.53,3
-0.1875,-1.078125,0.09375,-152.99,5.063804,70.0,25.53,3
-0.234375,-0.984375,0.078125,-132.96,5.036896,70.0,25.53,3
-0.203125,-0.953125,0.0625,-119.81,5.036896,70.0,25.53,3
-0.0625,-0.921875,0.046875,-107.56,5.036896,70.0,25.53,3
0.015625,-0.921875,0.015625,-90.36,5.036896,70.0,25.53,3
0.015625,-0.9375,0.0,-72.56,5.036896,70.0,25.53,3
