1660932813.000000, 1660932813.000000, 1660932813.000000
32.000000, 32.000000, 32.000000
-15,-58,20
-15,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-13,-58,20
-13,-58,20
-13,-57,20
-14,-58,20
-14,-58,20
-14,-58,21
-14,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,20
-14,-58,20
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-57,21
-15,-58,20
-15,-58,20
-15,-58,20
-15,-58,20
-15,-58,20
-15,-58,20
-15,-58,21
-15,-58,21
-15,-57,21
-15,-58,21
-15,-58,21
-15,-58,21
-15,-58,21
-14,-58,21
-15,-58,21
-15,-58,20
-15,-58,20
-15,-58,20
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-57,21
-14,-58,21
-14,-58,21
-14,-57,20
-14,-56,19
-14,-56,19
-14,-56,18
-15,-58,18
-16,-59,19
-16,-59,20
-15,-59,21
-14,-58,22
-15,-59,23
-15,-59,24
-16,-60,23
-16,-59,23
-14,-58,21
-15,-59,21
-15,-59,19
-15,-58,19
-14,-58,18
-15,-58,19
-15,-57,20
-15,-57,19
-16,-57,20
-16,-57,20
-15,-57,22
-13,-57,24
-16,-57,22
-16,-58,22
-17,-57,23
-15,-57,21
-15,-56,19
-15,-58,21
-15,-58,22
-16,-57,21
-15,-57,21
-15,-57,22
-15,-57,22
-15,-58,21
-14,-58,22
-14,-57,22
-14,-57,22
-15,-58,21
-14,-57,21
-14,-57,21
-14,-57,21
-14,-58,21
-14,-57,19
-14,-58,22
-14,-58,23
-14,-58,22
-13,-58,22
-13,-58,21
-14,-58,20
-12,-57,21
-13,-58,20
-13,-58,20
-13,-58,20
-13,-58,19
-12,-58,18
-11,-58,19
-12,-58,19
-12,-59,19
-12,-60,20
-12,-60,20
-11,-59,20
-11,-60,20
-10,-60,19
-10,-60,19
-10,-60,19
-10,-61,19
-9,-61,19
-9,-61,19
-9,-61,19
-9,-61,19
-10,-60,19
-9,-59,19
-9,-60,20
-8,-59,20
-8,-59,20
-9,-59,21
-9,-59,21
-9,-57,21
-10,-57,22
-10,-56,22
-11,-56,22
-11,-56,21
-13,-56,22
-15,-54,22
-15,-54,22
-15,-56,23
-14,-57,24
-13,-57,25
-15,-56,24
-16,-56,24
-16,-57,25
-16,-57,25
-16,-56,26
-17,-56,26
-17,-55,26
-18,-55,25
-18,-55,25
-19,-54,25
-18,-54,25
-17,-54,25
-18,-56,25
-19,-57,25
-20,-57,24
-19,-57,25
-18,-56,26
-18,-55,26
-18,-55,26
-18,-55,26
-17,-56,26
-17,-56,25
-16,-56,24
-17,-56,24
-18,-55,24
-19,-55,23
-18,-56,24
-17,-56,24
-17,-57,24
-17,-57,24
-17,-57,24
-17,-56,25
-16,-56,24
-16,-55,23
-16,-57,23
-16,-57,23
-16,-56,21
-15,-55,21
-15,-56,21
-14,-57,21
-14,-57,20
-13,-57,21
-14,-57,21
-14,-57,21
-14,-58,22
-14,-58,22
-14,-59,22
-14,-60,22
-14,-60,22
-13,-59,21
-13,-59,20
-13,-59,20
-13,-59,19
-13,-60,19
-12,-59,18
-12,-60,18
-10,-60,18
-9,-60,19
-8,-60,21
-9,-58,22
-10,-58,21
-14,-58,22
-16,-57,21
-16,-57,19
-15,-57,20
-17,-58,20
-17,-59,19
-16,-58,19
-15,-58,20
-14,-57,20
-14,-57,20
-13,-57,21
-14,-57,21
-14,-57,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,21
-14,-58,20
-14,-58,21
-14,-57,21
-14,-57,20
-14,-58,21
-13,-59,21
-13,-59,20
-12,-59,20
-12,-58,20
-12,-58,20
-13,-58,19
-13,-58,19
-13,-58,19
-13,-59,19
-12,-59,20
-12,-59,20
-12,-59,20
-11,-59,20
-12,-59,20
-14,-59,21
-14,-59,21
-14,-60,21
-14,-60,21
-14,-61,21
-14,-60,20
-14,-60,19
-15,-60,19
-15,-60,18
-14,-60,18
-14,-59,18
-13,-59,18
-14,-60,19
-16,-61,20
-18,-60,19
-23,-62,27
-28,-63,28
-29,-60,30
-34,-61,34
-47,-62,38
-67,-65,45
-69,-62,46
-67,-57,60
-66,-56,68
-75,-45,55
-66,-30,46
-50,-22,45
-28,-7,29
-17,1,25
-3,13,26
-8,19,25
-7,17,27
0,22,24
3,23,23
8,24,24
11,34,29
14,38,31
9,45,30
12,46,33
13,47,36
10,48,38
10,50,39
8,51,41
8,51,41
9,51,39
10,51,38
10,51,40
9,50,38
7,50,38
9,52,38
10,55,38
11,57,36
9,55,35
5,53,36
2,50,34
7,48,32
9,48,31
14,46,34
13,46,34
13,48,34
16,44,31
17,42,30
17,38,24
17,34,20
13,28,15
7,21,14
2,17,13
-20,6,23
-31,3,31
-46,-2,40
-60,-10,56
-54,-14,59
-26,-27,50
-15,-42,45
-2,-71,41
-6,-92,39
-13,-102,40
-34,-112,49
-41,-101,46
-29,-75,32
-26,-64,25
-24,-62,25
-24,-63,25
-26,-62,24
-26,-57,25
-22,-56,28
-20,-58,28
-20,-65,25
-19,-68,24
-18,-68,22
-17,-64,21
-17,-63,21
-18,-62,18
-19,-63,18
-16,-66,18
-14,-67,18
-11,-65,19
-10,-59,18
-11,-56,17
-13,-53,16
-13,-53,16
-14,-55,19
-13,-50,21
-13,-48,20
-15,-49,21
-16,-52,21
-18,-59,24
-16,-61,26
-16,-61,26
-17,-59,25
-18,-59,25
-20,-58,24
-20,-57,24
-19,-57,24
-18,-56,24
-18,-55,23
-19,-56,24
-19,-55,24
-18,-54,24
-17,-56,25
-16,-57,25
-15,-56,26
-14,-56,25
-14,-56,26
-12,-56,27
-12,-56,27
-11,-56,27
-10,-55,27
-10,-56,27
-10,-55,27
-10,-56,26
-10,-55,27
-11,-54,27
-11,-54,28
-11,-52,28
-11,-54,28
-12,-54,29
-14,-53,28
-14,-55,28
-14,-58,28
-13,-57,27
-13,-54,25
-14,-53,24
-15,-54,24
-15,-56,25
-15,-56,26
-15,-57,28
-14,-58,28
-13,-57,28
-12,-56,25
-12,-55,24
-10,-57,24
-9,-57,25
-10,-56,25
-13,-56,25
-14,-55,25
-14,-55,23
-15,-55,23
-15,-56,23
-14,-57,22
-15,-57,22
-14,-57,24
-15,-58,23
-15,-58,24
-15,-58,25
-15,-58,25
-14,-59,25
-14,-59,24
-14,-59,24
-14,-57,24
-14,-57,23
-14,-57,22
-14,-57,21
-14,-57,21
-14,-58,21
-14,-57,21
-15,-57,21
-15,-57,22
-15,-57,22
-16,-57,22
-15,-57,22
-15,-57,23
-15,-57,23
-15,-57,22
-15,-57,22
-15,-57,22
-16,-56,22
-16,-56,22
-16,-56,22
-16,-57,22
-16,-57,22
-16,-57,23
-16,-57,23
-16,-57,23
-16,-57,23
-17,-57,24
-17,-56,24
-18,-56,24
-18,-56,23
-16,-56,22
-15,-56,25
-17,-57,25
-17,-56,26
-17,-56,26
-16,-57,26
-16,-57,26
-18,-57,25
-20,-57,29
-24,-58,32
-35,-53,36
-32,-51,42
-27,-53,47
-31,-57,46
-33,-55,44
-33,-52,42
-32,-52,41
-28,-47,42
-29,-42,41
-28,-41,41
-28,-36,42
-28,-34,43
-26,-31,45
-22,-28,44
-23,-27,44
-23,-24,45
-22,-23,45
-21,-21,46
-20,-19,51
-20,-18,51
-21,-16,53
-21,-17,54
-20,-16,55
-18,-16,56
-18,-15,56
-18,-13,55
-18,-13,55
-17,-12,55
-17,-12,56
-18,-13,56
-19,-14,58
-18,-13,59
-17,-12,60
-18,-12,61
