acc_x,acc_y,acc_z,bvp,eda,hr,temp,label
-0.28125,-0.9375,0.09375,88.81,2.293152,89.71,33.61,4
-0.265625,-0.9375,0.09375,43.19,2.293152,89.71,33.61,4
-0.265625,-0.9375,0.125,4.82,2.293152,89.71,33.61,4
-0.265625,-0.9375,0.140625,-34.67,2.293152,89.71,33.61,4
-0.25,-0.875,0.25,-110.71,2.293152,89.71,33.61,4
-0.28125,-0.921875,0.09375,-216.95,2.293152,89.71,33.61,4
-0.28125,-0.953125,0.078125,-329.25,2.293152,89.71,33.61,4
-0.3125,-0.953125,0.0625,-422.03,2.293152,89.71,33.61,4
-0.265625,-0.9375,0.09375,-490.19,2.326466,89.71,33.61,4
-0.25,-1.0,0.0625,-538.39,2.326466,89.71,33.61,4
-0.28125,-0.96875,0.0625,-556.35,2.326466,89.71,33.61,4
-0.28125,-0.953125,0.0625,-566.68,2.326466,89.71,33.61,4
-0.234375,-0.953125,0.078125,-594.76,2.326466,89.71,33.61,4
-0.234375,-0.921875,0.0625,-691.26,2.326466,89.71,33.61,4
-0.296875,-0.9375,0.015625,-812.81,2.326466,89.71,33.61,4
-0.25,-0.953125,0.046875,-892.08,2.326466,89.71,33.61,4
-0.234375,-0.953125,0.046875,-851.36,2.336717,89.71,33.61,4
-0.265625,-0.953125,0.046875,-422.81,2.336717,89.71,33.61,4
-0.25,-0.953125,0.046875,102.43,2.336717,89.71,33.61,4
-0.234375,-0.9375,0.0625,416.55,2.336717,89.71,33.61,4
-0.234375,-0.9375,0.0625,541.85,2.336717,89.71,33.61,4
-0.234375,-0.9375,0.0625,579.04,2.336717,89.71,33.61,4
-0.234375,-0.9375,0.0625,518.62,2.336717,89.71,33.61,4
-0.234375,-0.953125,0.0625,414.06,2.336717,89.71,33.61,4
-0.234375,-0.9375,0.046875,338.6,2.332873,89.71,33.61,4
-0.234375,-0.9375,0.046875,294.7,2.332873,89.71,33.61,4
-0.21875,-0.9375,0.046875,231.05,2.332873,89.71,33.61,4
-0.21875,-0.9375,0.046875,135.21,2.332873,89.71,33.61,4
-0.21875,-0.921875,0.0625,65.24,2.332873,89.71,33.61,4
-0.203125,-0.921875,0.0625,81.45,2.332873,89.71,33.61,4
-0.203125,-0.921875,0.078125,164.77,2.332873,89.71,33.61,4
-0.203125,-0.953125,0.078125,209.16,2.332873,89.71,33.61,4
-0.203125,-0.984375,0.09375,210.59,2.332873,92.12,33.63,4
-0.21875,-0.96875,0.09375,209.57,2.332873,92.12,33.63,4
-0.203125,-0.953125,0.09375,211.34,2.332873,92.12,33.63,4
-0.21875,-0.96875,0.125,198.02,2.332873,92.12,33.63,4
-0.234375,-0.984375,0.140625,167.47,2.332873,92.12,33.63,4
-0.234375,-1.0,0.171875,136.0,2.332873,92.12,33.63,4
-0.234375,-0.96875,0.171875,109.38,2.332873,92.12,33.63,4
-0.265625,-0.890625,0.171875,76.57,2.332873,92.12,33.63,4
-0.3125,-0.875,0.140625,30.82,2.334154,92.12,33.63,4
-0.328125,-0.890625,0.125,-23.46,2.334154,92.12,33.63,4
-0.28125,-0.921875,0.140625,-71.45,2.334154,92.12,33.63,4
-0.25,-0.921875,0.125,-96.29,2.334154,92.12,33.63,4
-0.28125,-0.9375,0.125,-105.57,2.334154,92.12,33.63,4
-0.296875,-0.953125,0.140625,-107.68,2.334154,92.12,33.63,4
-0.296875,-0.96875,0.140625,-111.45,2.334154,92.12,33.63,4
-0.28125,-1.015625,0.140625,-122.19,2.334154,92.12,33.63,4
-0.28125,-1.03125,0.15625,-128.15,2.327748,92.12,33.63,4
-0.265625,-1.09375,0.171875,-95.47,2.327748,92.12,33.63,4
-0.296875,-1.171875,0.171875,-22.82,2.327748,92.12,33.63,4
-0.328125,-1.15625,0.15625,40.98,2.327748,92.12,33.63,4
-0.359375,-1.1875,0.0625,60.59,2.327748,92.12,33.63,4
-0.328125,-1.15625,0.03125,54.54,2.327748,92.12,33.63,4
-0.265625,-0.984375,0.0625,47.53,2.327748,92.12,33.63,4
-0.1875,-0.859375,0.03125,39.45,2.327748,92.12,33.63,4
-0.15625,-0.890625,0.015625,31.42,2.329029,92.12,33.63,4
-0.15625,-0.9375,-0.046875,30.52,2.329029,92.12,33.63,4
-0.171875,-0.9375,-0.078125,32.53,2.329029,92.12,33.63,4
-0.1875,-0.890625,-0.125,27.3,2.329029,92.12,33.63,4
-0.171875,-0.859375,-0.125,17.0,2.329029,92.12,33.63,4
-0.1875,-0.84375,-0.09375,11.09,2.329029,92.12,33.63,4
-0.1875,-0.828125,-0.046875,10.93,2.329029,92.12,33.63,4
-0.203125,-0.828125,-0.046875,8.88,2.329029,92.12,33.63,4
-0.203125,-0.84375,-0.03125,1.36,2.326466,94.0,33.63,4
-0.15625,-0.84375,0.015625,-6.54,2.326466,94.0,33.63,4
-0.15625,-0.84375,0.046875,-10.46,2.326466,94.0,33.63,4
-0.15625,-0.921875,0.078125,-12.81,2.326466,94.0,33.63,4
-0.15625,-0.96875,0.078125,-17.78,2.326466,94.0,33.63,4
-0.203125,-1.078125,0.046875,-24.85,2.326466,94.0,33.63,4
-0.203125,-1.28125,-0.015625,-30.98,2.326466,94.0,33.63,4
-0.21875,-1.3125,-0.015625,-34.88,2.326466,94.0,33.63,4
-0.265625,-1.1875,0.03125,-37.18,2.317497,94.0,33.63,4
-0.296875,-1.046875,0.0625,-37.24,2.317497,94.0,33.63,4
-0.28125,-0.78125,0.046875,-32.92,2.317497,94.0,33.63,4
-0.296875,-0.9375,0.03125,-22.87,2.317497,94.0,33.63,4
-0.28125,-1.0,0.046875,-8.0,2.317497,94.0,33.63,4
-0.265625,-1.078125,0.0625,9.18,2.317497,94.0,33.63,4
-0.25,-1.015625,0.09375,24.79,2.317497,94.0,33.63,4
-0.25,-0.84375,0.109375,35.32,2.317497,94.0,33.63,4
-0.296875,-0.734375,0.15625,39.9,2.32006,94.0,33.63,4
-0.265625,-0.765625,0.21875,40.34,2.32006,94.0,33.63,4
-0.21875,-0.796875,0.28125,38.24,2.32006,94.0,33.63,4
-0.25,-0.8125,0.234375,33.63,2.32006,94.0,33.63,4
-0.265625,-0.859375,0.125,27.18,2.32006,94.0,33.63,4
-0.25,-0.953125,0.09375,21.91,2.32006,94.0,33.63,4
-0.265625,-1.046875,0.078125,20.26,2.32006,94.0,33.63,4
-0.3125,-1.09375,0.09375,20.54,2.32006,94.0,33.63,4
-0.3125,-1.09375,0.09375,19.5,2.314934,94.0,33.63,4
-0.3125,-1.328125,0.109375,17.75,2.314934,94.0,33.63,4
-0.359375,-1.375,0.25,18.71,2.314934,94.0,33.63,4
-0.40625,-1.296875,0.140625,23.15,2.314934,94.0,33.63,4
-0.25,-0.9375,0.0,27.54,2.314934,94.0,33.63,4
-0.203125,-0.796875,0.0625,26.4,2.314934,94.0,33.63,4
-0.171875,-0.84375,0.09375,17.14,2.314934,94.0,33.63,4
-0.21875,-0.875,0.03125,5.22,2.314934,94.0,33.63,4
-0.25,-0.90625,-0.046875,-1.8,2.31109,95.5,33.61,4
-0.25,-0.859375,-0.125,-5.37,2.31109,95.5,33.61,4
-0.203125,-0.8125,-0.125,-12.17,2.31109,95.5,33.61,4
-0.1875,-0.734375,-0.09375,-23.25,2.31109,95.5,33.61,4
-0.21875,-0.78125,-0.078125,-35.77,2.31109,95.5,33.61,4
-0.234375,-0.796875,-0.09375,-50.84,2.31109,95.5,33.61,4
-0.25,-0.8125,-0.078125,-67.28,2.31109,95.5,33.61,4
-0.234375,-0.8125,-0.0625,-75.68,2.31109,95.5,33.61,4
-0.203125,-0.921875,-0.046875,-65.49,2.313653,95.5,33.61,4
-0.15625,-1.140625,-0.03125,-37.92,2.313653,95.5,33.61,4
-0.15625,-1.171875,0.0,-7.85,2.313653,95.5,33.61,4
-0.15625,-1.234375,0.03125,16.58,2.313653,95.5,33.61,4
-0.140625,-1.25,0.015625,45.26,2.313653,95.5,33.61,4
-0.140625,-1.21875,0.015625,89.61,2.313653,95.5,33.61,4
-0.1875,-1.03125,0.125,132.53,2.313653,95.5,33.61,4
-0.1875,-0.921875,0.171875,130.68,2.313653,95.5,33.61,4
-0.125,-0.90625,0.15625,67.02,2.309809,95.5,33.61,4
-0.109375,-0.96875,0.109375,-17.1,2.309809,95.5,33.61,4
-0.09375,-1.0625,0.046875,-61.67,2.309809,95.5,33.61,4
-0.09375,-0.96875,0.078125,-47.68,2.309809,95.5,33.61,4
-0.09375,-0.890625,0.109375,-4.97,2.309809,95.5,33.61,4
-0.109375,-0.78125,0.09375,22.67,2.309809,95.5,33.61,4
-0.140625,-0.75,0.0625,8.75,2.309809,95.5,33.61,4
-0.15625,-0.75,0.046875,-46.23,2.309809,95.5,33.61,4
-0.1875,-0.84375,0.046875,-115.86,2.313653,95.5,33.61,4
-0.1875,-0.890625,0.0625,-164.73,2.313653,95.5,33.61,4
-0.21875,-0.875,0.09375,-171.92,2.313653,95.5,33.61,4
-0.25,-0.875,0.125,-137.31,2.313653,95.5,33.61,4
-0.296875,-1.0,0.171875,-74.42,2.313653,95.5,33.61,4
-0.3125,-1.09375,0.203125,-5.94,2.313653,95.5,33.61,4
-0.3125,-1.140625,0.1875,49.08,2.313653,95.5,33.61,4
-0.28125,-1.3125,0.0625,90.96,2.313653,95.5,33.61,4
-0.3125,-1.328125,0.046875,117.2,2.313653,96.55,33.63,4
-0.390625,-1.25,0.03125,99.7,2.313653,96.55,33.63,4
-0.390625,-0.984375,0.015625,25.79,2.313653,96.55,33.63,4
-0.3125,-0.875,-0.015625,-64.26,2.313653,96.55,33.63,4
-0.203125,-0.90625,-0.0625,-123.64,2.313653,96.55,33.63,4
-0.1875,-0.953125,-0.0625,-145.62,2.313653,96.55,33.63,4
-0.171875,-0.96875,-0.046875,-136.33,2.313653,96.55,33.63,4
-0.171875,-0.90625,-0.078125,-94.63,2.313653,96.55,33.63,4
-0.171875,-0.859375,-0.078125,-39.74,2.296996,96.55,33.63,4
-0.171875,-0.8125,-0.015625,-9.44,2.296996,96.55,33.63,4
-0.15625,-0.796875,0.0,-17.49,2.296996,96.55,33.63,4
-0.15625,-0.796875,-0.015625,-40.92,2.296996,96.55,33.63,4
-0.15625,-0.828125,0.0,-51.05,2.296996,96.55,33.63,4
-0.15625,-0.828125,0.03125,-39.51,2.296996,96.55,33.63,4
-0.15625,-0.859375,0.046875,-12.77,2.296996,96.55,33.63,4
-0.15625,-0.90625,0.046875,24.34,2.296996,96.55,33.63,4
-0.203125,-1.015625,0.03125,69.14,2.299558,96.55,33.63,4
-0.21875,-1.140625,0.015625,113.59,2.299558,96.55,33.63,4
-0.203125,-1.1875,0.015625,151.19,2.299558,96.55,33.63,4
-0.21875,-1.203125,0.0,184.22,2.299558,96.55,33.63,4
-0.25,-1.1875,0.0,207.42,2.299558,96.55,33.63,4
-0.3125,-1.046875,0.09375,196.9,2.299558,96.55,33.63,4
-0.265625,-0.890625,0.0625,139.05,2.299558,96.55,33.63,4
-0.25,-0.921875,0.03125,62.13,2.299558,96.55,33.63,4
-0.265625,-1.03125,0.015625,16.09,2.289308,96.55,33.63,4
-0.265625,-1.046875,0.03125,20.69,2.289308,96.55,33.63,4
-0.21875,-0.875,0.09375,49.69,2.289308,96.55,33.63,4
-0.15625,-0.734375,0.125,64.46,2.289308,96.55,33.63,4
-0.140625,-0.6875,0.09375,45.31,2.289308,96.55,33.63,4
-0.15625,-0.75,0.046875,-2.77,2.289308,96.55,33.63,4
-0.171875,-0.8125,0.046875,-49.41,2.289308,96.55,33.63,4
-0.21875,-0.90625,0.078125,-53.62,2.289308,96.55,33.63,4
-0.234375,-0.875,0.09375,-6.51,2.286745,97.42,33.61,4
-0.25,-0.875,0.09375,53.73,2.286745,97.42,33.61,4
-0.28125,-0.9375,0.125,88.2,2.286745,97.42,33.61,4
-0.3125,-1.0,0.140625,93.41,2.286745,97.42,33.61,4
-0.28125,-1.109375,0.140625,81.44,2.286745,97.42,33.61,4
-0.234375,-1.234375,0.078125,58.1,2.286745,97.42,33.61,4
-0.25,-1.28125,0.0625,28.45,2.286745,97.42,33.61,4
-0.28125,-1.296875,0.09375,-6.5,2.286745,97.42,33.61,4
-0.296875,-1.265625,0.09375,-58.46,2.288027,97.42,33.61,4
-0.28125,-1.046875,0.03125,-128.45,2.288027,97.42,33.61,4
-0.15625,-0.875,-0.03125,-182.9,2.288027,97.42,33.61,4
-0.125,-0.890625,-0.015625,-185.43,2.288027,97.42,33.61,4
-0.109375,-0.90625,0.0,-143.08,2.288027,97.42,33.61,4
-0.125,-0.9375,-0.015625,-93.49,2.288027,97.42,33.61,4
-0.140625,-0.90625,-0.0625,-60.32,2.288027,97.42,33.61,4
-0.15625,-0.8125,-0.0625,-46.05,2.288027,97.42,33.61,4
-0.1875,-0.796875,-0.046875,-47.27,2.277776,97.42,33.61,4
-0.171875,-0.796875,-0.03125,-51.13,2.277776,97.42,33.61,4
-0.171875,-0.796875,-0.046875,-37.15,2.277776,97.42,33.61,4
-0.171875,-0.8125,-0.046875,-2.11,2.277776,97.42,33.61,4
-0.171875,-0.828125,-0.015625,34.49,2.277776,97.42,33.61,4
-0.15625,-0.859375,-0.015625,58.29,2.277776,97.42,33.61,4
-0.15625,-0.953125,0.0,74.15,2.277776,97.42,33.61,4
-0.15625,-1.015625,0.0,90.05,2.277776,97.42,33.61,4
-0.171875,-1.125,-0.015625,107.63,2.279057,97.42,33.61,4
-0.140625,-1.21875,-0.015625,129.82,2.279057,97.42,33.61,4
-0.140625,-1.234375,-0.03125,156.35,2.279057,97.42,33.61,4
-0.203125,-1.265625,-0.03125,167.1,2.279057,97.42,33.61,4
-0.265625,-1.140625,0.015625,132.55,2.279057,97.42,33.61,4
-0.3125,-0.90625,0.109375,55.82,2.279057,97.42,33.61,4
-0.21875,-0.875,0.09375,-13.99,2.279057,97.42,33.61,4
-0.171875,-0.953125,0.078125,-32.67,2.279057,97.42,33.61,4
-0.109375,-1.078125,0.078125,-10.74,2.270088,98.08,33.61,4
-0.109375,-1.0625,0.09375,5.33,2.270088,98.08,33.61,4
-0.140625,-0.953125,0.0625,-14.25,2.270088,98.08,33.61,4
-0.140625,-0.84375,0.03125,-60.05,2.270088,98.08,33.61,4
-0.171875,-0.796875,0.015625,-95.77,2.270088,98.08,33.61,4
-0.1875,-0.734375,0.03125,-89.38,2.270088,98.08,33.61,4
-0.171875,-0.75,0.015625,-44.44,2.270088,98.08,33.61,4
-0.171875,-0.8125,0.046875,4.26,2.270088,98.08,33.61,4
-0.21875,-0.828125,0.09375,28.51,2.266244,98.08,33.61,4
-0.25,-0.859375,0.09375,26.7,2.266244,98.08,33.61,4
-0.34375,-1.0,0.109375,11.18,2.266244,98.08,33.61,4
-0.40625,-1.03125,0.125,-4.23,2.266244,98.08,33.61,4
-0.390625,-1.09375,0.09375,-8.19,2.266244,98.08,33.61,4
-0.328125,-1.296875,-0.015625,-1.02,2.266244,98.08,33.61,4
-0.328125,-1.359375,-0.03125,-1.22,2.266244,98.08,33.61,4
-0.34375,-1.25,-0.015625,-30.58,2.266244,98.08,33.61,4
-0.296875,-1.140625,0.015625,-83.86,2.263681,98.08,33.61,4
-0.1875,-0.859375,-0.015625,-123.06,2.263681,98.08,33.61,4
-0.078125,-0.859375,-0.046875,-116.84,2.263681,98.08,33.61,4
-0.09375,-0.875,-0.03125,-76.3,2.263681,98.08,33.61,4
-0.140625,-0.9375,-0.046875,-36.88,2.263681,98.08,33.61,4
-0.171875,-0.921875,-0.15625,-19.86,2.263681,98.08,33.61,4
-0.15625,-0.875,-0.15625,-24.76,2.263681,98.08,33.61,4
-0.203125,-0.8125,-0.109375,-38.94,2.263681,98.08,33.61,4
-0.203125,-0.8125,-0.078125,-43.12,2.254712,98.08,33.61,4
-0.203125,-0.828125,-0.0625,-24.49,2.254712,98.08,33.61,4
-0.171875,-0.84375,-0.046875,9.66,2.254712,98.08,33.61,4
-0.15625,-0.828125,0.0,41.3,2.254712,98.08,33.61,4
-0.140625,-0.828125,0.046875,62.01,2.254712,98.08,33.61,4
-0.140625,-0.875,0.078125,76.18,2.254712,98.08,33.61,4
-0.171875,-0.953125,0.046875,89.85,2.254712,98.08,33.61,4
-0.1875,-1.09375,-0.015625,105.54,2.254712,98.08,33.61,4
-0.203125,-1.15625,-0.046875,126.86,2.257275,98.64,33.59,4
-0.21875,-1.28125,-0.046875,156.38,2.257275,98.64,33.59,4
-0.25,-1.265625,-0.046875,180.3,2.257275,98.64,33.59,4
-0.3125,-1.109375,0.0,168.9,2.257275,98.64,33.59,4
-0.3125,-0.96875,0.046875,109.65,2.257275,98.64,33.59,4
-0.21875,-0.765625,0.046875,30.44,2.257275,98.64,33.59,4
-0.171875,-0.90625,0.0,-26.33,2.257275,98.64,33.59,4
-0.203125,-0.96875,0.0,-44.74,2.257275,98.64,33.59,4
-0.21875,-1.09375,0.046875,-37.85,2.254712,98.64,33.59,4
-0.171875,-0.9375,0.046875,-24.07,2.254712,98.64,33.59,4
-0.171875,-0.859375,0.0625,-18.37,2.254712,98.64,33.59,4
-0.21875,-0.765625,0.109375,-31.2,2.254712,98.64,33.59,4
-0.234375,-0.78125,0.125,-53.1,2.254712,98.64,33.59,4
-0.21875,-0.796875,0.125,-53.99,2.254712,98.64,33.59,4
-0.1875,-0.8125,0.1875,-19.14,2.254712,98.64,33.59,4
-0.203125,-0.84375,0.171875,29.68,2.254712,98.64,33.59,4
-0.234375,-0.96875,0.125,59.8,2.247024,98.64,33.59,4
-0.25,-1.015625,0.125,53.55,2.247024,98.64,33.59,4
-0.34375,-1.09375,0.09375,12.02,2.247024,98.64,33.59,4
-0.328125,-1.171875,0.078125,-42.3,2.247024,98.64,33.59,4
-0.3125,-1.25,0.078125,-76.5,2.247024,98.64,33.59,4
-0.3125,-1.265625,0.09375,-80.54,2.247024,98.64,33.59,4
-0.3125,-1.21875,0.09375,-78.7,2.247024,98.64,33.59,4
-0.21875,-1.046875,0.109375,-97.14,2.247024,98.64,33.59,4
-0.203125,-0.859375,0.09375,-130.69,2.252149,98.64,33.59,4
-0.203125,-0.796875,0.0625,-149.58,2.252149,98.64,33.59,4
-0.1875,-0.859375,-0.03125,-130.79,2.252149,98.64,33.59,4
-0.171875,-0.90625,-0.046875,-78.24,2.252149,98.64,33.59,4
-0.1875,-1.03125,-0.15625,-20.01,2.252149,98.64,33.59,4
-0.21875,-1.015625,-0.203125,13.15,2.252149,98.64,33.59,4
